,date,start_time,end_time,class_type,class_name,professor_name,grade,label,class_code,major
34,월,15:00,16:15,전공선택(05),미국소설,신명아,,ELC,ELC238-00,"영미어문전공, 영미문화전공"
35,수,15:00,16:15,전공선택(05),미국소설,신명아,,ELC,ELC238-00,"영미어문전공, 영미문화전공"
36,화,15:00,16:15,전공선택(05),어문프로젝트(캡스톤디자인),이상민,,ELC,ELC410-00,"영미어문전공, 영미문화전공"
37,목,15:00,16:15,전공선택(05),어문프로젝트(캡스톤디자인),이상민,,ELC,ELC410-00,"영미어문전공, 영미문화전공"
38,금,15:00,17:45,전공선택(05),영미드라마,전선재,,ELC,ELC344-00,"영미어문전공, 영미문화전공"
39,금,9:00,11:45,전공선택(05),영어교육과정과평가,강희연,,ELC,ELC374-00,"영미어문전공, 영미문화전공"
40,금,13:30,16:15,전공선택(05),영어학에세이,이민상,,ELC,ELC302-00,"영미어문전공, 영미문화전공"
41,화,12:00,13:15,전공선택(05),테크놀로지와디지털콘텐츠,이상민,,ELC,ELC471-00,"영미어문전공, 영미문화전공"
42,목,12:00,13:15,전공선택(05),테크놀로지와디지털콘텐츠,이상민,,ELC,ELC471-00,"영미어문전공, 영미문화전공"
43,월,12:00,13:15,전공선택(05),현대영문법,윤재학,,ELC,ELC301-00,"영미어문전공, 영미문화전공"
44,수,12:00,13:15,전공선택(05),현대영문법,윤재학,,ELC,ELC301-00,"영미어문전공, 영미문화전공"
45,월,13:30,14:45,교직전선(20),교과교육론(영어),성기완,,EDU,EDU3121-G00,교직
46,수,13:30,14:45,교직전선(20),교과교육론(영어),성기완,,EDU,EDU3121-G00,교직
47,금,10:30,13:15,전공선택(05),담화와문법,이건희,1,KO,KO1403-00,한국어학과
48,월,15:00,16:15,전공선택(05),담화와어휘,임우열,1,KO,KO1402-00,한국어학과
49,수,15:00,16:15,전공선택(05),담화와어휘,임우열,1,KO,KO1402-00,한국어학과
50,월,12:00,13:15,전공선택(05),외국어습득론,남주연,3,KO,KO3106-00,한국어학과
51,수,12:00,13:15,전공선택(05),외국어습득론,남주연,3,KO,KO3106-00,한국어학과
52,월,16:30,17:45,전공선택(05),한국대중문화,이철주,4,KO,KO4201-00,한국어학과
53,수,16:30,17:45,전공선택(05),한국대중문화,이철주,4,KO,KO4201-00,한국어학과
54,화,12:00,13:15,전공선택(05),한국문화교육론,이선이,3,KO,KO3202-00,한국어학과
55,목,12:00,13:15,전공선택(05),한국문화교육론,이선이,3,KO,KO3202-00,한국어학과
56,화,10:30,11:45,전공선택(05),한국민속문화,이경민,1,KO,KO1202-00,한국어학과
57,목,10:30,11:45,전공선택(05),한국민속문화,이경민,1,KO,KO1202-00,한국어학과
58,목,9:00,11:45,전공선택(05),한국어교육실습,성아영,4,KO,KO4105-00,한국어학과
59,금,18:00,19:15,전공선택(05),한국어교육실습,성아영,4,KO,KO4105-00,한국어학과
60,화,15:00,16:15,전공선택(05),한국어담화교육론,김정남,3,KO,KO3102-00,한국어학과
61,목,15:00,16:15,전공선택(05),한국어담화교육론,김정남,3,KO,KO3102-00,한국어학과
62,월,10:30,11:45,전공선택(05),한국어말하기쓰기교육법,남주연,3,KO,KO3103-00,한국어학과
63,수,10:30,11:45,전공선택(05),한국어말하기쓰기교육법,남주연,3,KO,KO3103-00,한국어학과
64,월,15:00,16:15,전공선택(05),한국어문법교육론,박동호,2,KO,KO2104-00,한국어학과
65,수,15:00,16:15,전공선택(05),한국어문법교육론,박동호,2,KO,KO2104-00,한국어학과
66,월,9:00,10:15,전공선택(05),한국어어휘교육론,이선웅,2,KO,KO2105-00,한국어학과
67,수,9:00,10:15,전공선택(05),한국어어휘교육론,이선웅,2,KO,KO2105-00,한국어학과
68,월,10:30,11:45,전공선택(05),한국어학개론,이선웅,1,KO,KO1102-00,한국어학과
69,수,10:30,11:45,전공선택(05),한국어학개론,이선웅,1,KO,KO1102-00,한국어학과
70,화,10:30,11:45,전공선택(05),한국어형태음운론,김정남,2,KO,KO2102-00,한국어학과
71,목,10:30,11:45,전공선택(05),한국어형태음운론,김정남,2,KO,KO2102-00,한국어학과
72,금,10:30,13:15,전공선택(05),한국언어문화캡스톤디자인,이선웅,4,KO,KO4304-00,한국어학과
73,화,16:30,17:45,전공선택(05),한국영화읽기,이철주,2,KO,KO2501-00,한국어학과
74,목,16:30,17:45,전공선택(05),한국영화읽기,이철주,2,KO,KO2501-00,한국어학과
75,화,9:00,10:15,전공선택(05),한국전통문화,이경민,2,KO,KO2201-00,한국어학과
76,목,9:00,10:15,전공선택(05),한국전통문화,이경민,2,KO,KO2201-00,한국어학과
77,월,12:00,13:15,전공기초(11),언어의이해,임우열,1,KO,KO1101-00,한국어학과
78,수,12:00,13:15,전공기초(11),언어의이해,임우열,1,KO,KO1101-00,한국어학과
79,화,16:30,17:45,전공필수(04),일본근현대문학의흐름,손지연,2,JP,JP251-00,일본어학과
80,목,16:30,17:45,전공필수(04),일본근현대문학의흐름,손지연,2,JP,JP251-00,일본어학과
81,금,10:30,13:15,전공필수(04),일본어학의이해,오미선,2,JP,JP231-00,일본어학과
82,화,10:30,11:45,전공선택(05),일본대중문화론,김태경,3,JP,JP374-00,일본어학과
83,목,10:30,11:45,전공선택(05),일본대중문화론,김태경,3,JP,JP374-00,일본어학과
84,금,10:30,13:15,전공선택(05),일본문학과영화,손지연,4,JP,JP475-00,일본어학과
85,화,13:30,14:45,전공선택(05),일본애니메이션론,김태경,2,JP,JP273-00,일본어학과
86,목,13:30,14:45,전공선택(05),일본애니메이션론,김태경,2,JP,JP273-00,일본어학과
87,화,13:30,14:45,전공선택(05),일본어강독1,이재훈,1,JP,JP113-00,일본어학과
88,목,13:30,14:45,전공선택(05),일본어강독1,이재훈,1,JP,JP113-00,일본어학과
89,화,13:30,14:45,전공선택(05),일본어강독1,이해미,1,JP,JP113-01,일본어학과
90,목,13:30,14:45,전공선택(05),일본어강독1,이해미,1,JP,JP113-01,일본어학과
91,월,12:00,13:15,전공선택(05),일본어대조연구도가사키 ,유이치,4,JP,JP481-00,일본어학과
92,수,12:00,13:15,전공선택(05),일본어대조연구도가사키 ,유이치,4,JP,JP481-00,일본어학과
93,월,13:30,14:45,전공선택(05),일본어문서작성,송경주,4,JP,JP411-00,일본어학과
94,수,13:30,14:45,전공선택(05),일본어문서작성,송경주,4,JP,JP411-00,일본어학과
95,월,13:30,14:45,전공선택(05),일본어어휘연습,장윤아,3,JP,JP331-00,일본어학과
96,수,13:30,14:45,전공선택(05),일본어어휘연습,장윤아,3,JP,JP331-00,일본어학과
97,월,12:00,13:15,전공선택(05),일본어작문1하타나,카아이,2,JP,JP213-00,일본어학과
98,수,12:00,13:15,전공선택(05),일본어작문1하타나,카아이,2,JP,JP213-00,일본어학과
99,화,10:30,11:45,전공선택(05),일본어표현문법도가사키 ,유이치,2,JP,JP233-00,일본어학과
100,목,10:30,11:45,전공선택(05),일본어표현문법도가사키 ,유이치,2,JP,JP233-00,일본어학과
101,월,9:00,10:15,전공선택(05),일본역사와사상,Teshima Takahiro,4,JP,JP476-00,일본어학과
102,수,9:00,10:15,전공선택(05),일본역사와사상,Teshima Takahiro,4,JP,JP476-00,일본어학과
103,월,15:00,16:15,전공선택(05),일본현대사회와문화,이재훈,2,JP,JP272-00,일본어학과
104,수,15:00,16:15,전공선택(05),일본현대사회와문화,이재훈,2,JP,JP272-00,일본어학과
105,월,9:00,10:15,전공선택(05),중급일본어회화1,NISHINO ERIKO,2,JP,JP211-00,일본어학과
106,수,9:00,10:15,전공선택(05),중급일본어회화1,NISHINO ERIKO,2,JP,JP211-00,일본어학과
107,월,9:00,10:15,전공선택(05),중급일본어회화1,KITAUCHI DAITO,2,JP,JP211-02,일본어학과
108,수,9:00,10:15,전공선택(05),중급일본어회화1,KITAUCHI DAITO,2,JP,JP211-02,일본어학과
109,월,10:30,11:45,전공선택(05),초급일본어회화1,KITAUCHI DAITO,1,JP,JP111-00,일본어학과
110,수,10:30,11:45,전공선택(05),초급일본어회화1,KITAUCHI DAITO,1,JP,JP111-00,일본어학과
111,월,10:30,11:45,전공선택(05),초급일본어회화1,하타나카아이,1,JP,JP111-01,일본어학과
112,수,10:30,11:45,전공선택(05),초급일본어회화1,하타나카아이,1,JP,JP111-01,일본어학과
113,월,10:30,11:45,전공선택(05),초급일본어회화1,NISHINO ERIKO,1,JP,JP111-02,일본어학과
114,수,10:30,11:45,전공선택(05),초급일본어회화1,NISHINO ERIKO,1,JP,JP111-02,일본어학과
115,금,13:30,16:15,전공선택(05),캡스톤디자인_일본문화컨텐츠제작,이창수,3,JP,JP378-00,일본어학과
116,화,15:00,16:45,전공선택(05),한일문학번역과출판이론의실제,손지연,3,JP,JP380-00,일본어학과
117,목,15:00,16:45,전공선택(05),한일문학번역과출판이론의실제,손지연,3,JP,JP380-00,일본어학과
118,화,12:00,13:15,전공선택(05),한일통번역연습,이해미,3,JP,JP313-00,일본어학과
119,목,12:00,13:15,전공선택(05),한일통번역연습,이해미,3,JP,JP313-00,일본어학과
120,월,16:30,17:45,전공기초(11),일본어와한자,Teshima Takahiro,2,JP,JP232-00,일본어학과
121,수,16:30,17:45,전공기초(11),일본어와한자,Teshima Takahiro,2,JP,JP232-00,일본어학과
122,화,9:00,10:15,전공기초(11),일본역사와문화,이창수,2,JP,JP271-00,일본어학과
123,목,9:00,10:15,전공기초(11),일본역사와문화,이창수,2,JP,JP271-00,일본어학과
124,목,10:30,13:15,교직전선(20),교과교수법(외국어),노희진,3,EDU,EDU3359-G00,교직
125,화,13:30,16:15,교직전선(20),교과교육론(일본어),Teshima Takahiro,3,EDU,EDU3193-G00,교직
126,월,12:00,13:15,전공필수(04),중국어의사소통의이해,박찬욱,4,CHI,CHI419-00,중국어학과
127,수,12:00,13:15,전공필수(04),중국어의사소통의이해,박찬욱,4,CHI,CHI419-00,중국어학과
128,금,10:30,13:15,전공필수(04),중국언어의이해,배재석,2,CHI,CHI201-00,중국어학과
129,월,12:00,13:15,전공필수(04),중국언어의이해,신근영,2,CHI,CHI201-01,중국어학과
130,수,12:00,13:15,전공필수(04),중국언어의이해,신근영,2,CHI,CHI201-01,중국어학과
131,월,15:00,16:15,전공필수(04),중국중근세문학사,민관동,3,CHI,CHI312-00,중국어학과
132,수,15:00,16:15,전공필수(04),중국중근세문학사,민관동,3,CHI,CHI312-00,중국어학과
133,화,10:30,11:45,전공선택(05),고급중국어회화1,WANG SIYU,3,CHI,CHI303-00,중국어학과
134,목,10:30,11:45,전공선택(05),고급중국어회화1,WANG SIYU,3,CHI,CHI303-00,중국어학과
135,화,10:30,11:45,전공선택(05),고급중국어회화1,LIANG YAOZHONG,3,CHI,CHI303-01,중국어학과
136,목,10:30,11:45,전공선택(05),고급중국어회화1,LIANG YAOZHONG,3,CHI,CHI303-01,중국어학과
137,월,10:30,11:45,전공선택(05),응용중국어,신근영,4,CHI,CHI420-00,중국어학과
138,수,10:30,11:45,전공선택(05),응용중국어,신근영,4,CHI,CHI420-00,중국어학과
139,월,16:30,17:45,전공선택(05),중국고전산문강독,노상균,4,CHI,CHI409-00,중국어학과
140,수,16:30,17:45,전공선택(05),중국고전산문강독,노상균,4,CHI,CHI409-00,중국어학과
141,화,15:00,16:15,전공선택(05),중국고전시가강독,노상균,3,CHI,CHI315-00,중국어학과
142,목,15:00,16:15,전공선택(05),중국고전시가강독,노상균,3,CHI,CHI315-00,중국어학과
143,월,10:30,11:45,전공선택(05),중국근현대사,주재우,2,CHI,CHI209-00,중국어학과
144,수,10:30,11:45,전공선택(05),중국근현대사,주재우,2,CHI,CHI209-00,중국어학과
145,월,12:00,13:15,전공선택(05),중국문화의이해,이수연,1,CHI,CHI107-00,중국어학과
146,수,12:00,13:15,전공선택(05),중국문화의이해,이수연,1,CHI,CHI107-00,중국어학과
147,월,12:00,13:15,전공선택(05),중국문화의이해,김승현,1,CHI,CHI107-01,중국어학과
148,수,12:00,13:15,전공선택(05),중국문화의이해,김승현,1,CHI,CHI107-01,중국어학과
149,화,15:00,16:15,전공선택(05),중국시사강론,주재우,3,CHI,CHI314-00,중국어학과
150,목,15:00,16:15,전공선택(05),중국시사강론,주재우,3,CHI,CHI314-00,중국어학과
151,화,12:00,13:15,전공선택(05),중국어문법2,박찬욱,3,CHI,CHI302-00,중국어학과
152,목,12:00,13:15,전공선택(05),중국어문법2,박찬욱,3,CHI,CHI302-00,중국어학과
153,월,15:00,16:15,전공선택(05),중국현대문학감상,이수연,4,CHI,CHI415-00,중국어학과
154,수,15:00,16:15,전공선택(05),중국현대문학감상,이수연,4,CHI,CHI415-00,중국어학과
155,화,15:00,16:15,전공선택(05),중급중국어강독,문병순,2,CHI,CHI211-00,중국어학과
156,목,15:00,16:15,전공선택(05),중급중국어강독,문병순,2,CHI,CHI211-00,중국어학과
157,화,12:00,13:15,전공선택(05),중급중국어회화1,WANG SIYU,2,CHI,CHI203-00,중국어학과
158,목,12:00,13:15,전공선택(05),중급중국어회화1,WANG SIYU,2,CHI,CHI203-00,중국어학과
159,화,12:00,13:15,전공선택(05),중급중국어회화1,LIANG YAOZHONG,2,CHI,CHI203-01,중국어학과
160,목,12:00,13:15,전공선택(05),중급중국어회화1,LIANG YAOZHONG,2,CHI,CHI203-01,중국어학과
161,화,12:00,13:15,전공선택(05),초급중국어회화1,김희성,1,CHI,CHI103-00,중국어학과
162,목,12:00,13:15,전공선택(05),초급중국어회화1,김희성,1,CHI,CHI103-00,중국어학과
163,월,15:00,16:15,전공선택(05),초급중국어회화1,김승현,1,CHI,CHI103-01,중국어학과
164,수,15:00,16:15,전공선택(05),초급중국어회화1,김승현,1,CHI,CHI103-01,중국어학과
165,월,16:30,17:45,전공선택(05),초급중국어회화1,배우정,1,CHI,CHI103-02,중국어학과
166,수,16:30,17:45,전공선택(05),초급중국어회화1,배우정,1,CHI,CHI103-02,중국어학과
167,화,10:30,11:45,전공선택(05),학술논문캡스톤디자인(중국어)1,박찬욱,4,CHI,CHI417-00,중국어학과
168,목,10:30,11:45,전공선택(05),학술논문캡스톤디자인(중국어)1,박찬욱,4,CHI,CHI417-00,중국어학과
169,월,15:00,16:15,전공선택(05),한문강독,문병순,2,CHI,CHI101-00,중국어학과
170,수,15:00,16:15,전공선택(05),한문강독,문병순,2,CHI,CHI101-00,중국어학과
171,월,10:30,11:45,전공기초(11),한자와한자어,문병순,1,CHI,CHI105-00,중국어학과
172,수,10:30,11:45,전공기초(11),한자와한자어,문병순,1,CHI,CHI105-00,중국어학과
173,화,10:30,11:45,전공기초(11),한자와한자어,문병순,1,CHI,CHI105-01,중국어학과
174,목,10:30,11:45,전공기초(11),한자와한자어,문병순,1,CHI,CHI105-01,중국어학과
175,금,15:00,17:45,교직전선(20),교과교육론(중국어),배재석,3,EDU,EDU3195-G00,교직
176,월,9:00,10:15,전공필수(04),러시아어회화5,Budnikova Galina Aleksandrovna,3,RU,RU3101-00,러시아어학과
177,수,9:00,10:15,전공필수(04),러시아어회화5,Budnikova Galina Aleksandrovna,3,RU,RU3101-00,러시아어학과
178,월,9:00,10:15,전공필수(04),러시아어회화5,Brichenkova Elena,3,RU,RU3101-01,러시아어학과
179,수,9:00,10:15,전공필수(04),러시아어회화5,Brichenkova Elena,3,RU,RU3101-01,러시아어학과
180,화,13:30,14:45,전공선택(05),러시아문학과사회,안지영,2,RU,RU2202-00,러시아어학과
181,목,13:30,14:45,전공선택(05),러시아문학과사회,안지영,2,RU,RU2202-00,러시아어학과
182,화,12:00,13:15,전공선택(05),러시아문학과영화,안병용,3,RU,RU3202-00,러시아어학과
183,목,12:00,13:15,전공선택(05),러시아문학과영화,안병용,3,RU,RU3202-00,러시아어학과
184,월,16:30,17:45,전공선택(05),러시아문학의이해,윤우섭,2,RU,RU2201-00,러시아어학과
185,수,16:30,17:45,전공선택(05),러시아문학의이해,윤우섭,2,RU,RU2201-00,러시아어학과
186,월,10:30,11:45,전공선택(05),러시아미디어읽기,한현희,4,RU,RU4102-00,러시아어학과
187,수,10:30,11:45,전공선택(05),러시아미디어읽기,한현희,4,RU,RU4102-00,러시아어학과
188,월,10:30,11:45,전공선택(05),러시아어1,안지영,1,RU,RU1103-00,러시아어학과
189,수,10:30,11:45,전공선택(05),러시아어1,안지영,1,RU,RU1103-00,러시아어학과
190,월,10:30,11:45,전공선택(05),러시아어1,안병용,1,RU,RU1103-01,러시아어학과
191,수,10:30,11:45,전공선택(05),러시아어1,안병용,1,RU,RU1103-01,러시아어학과
192,월,15:00,16:15,전공선택(05),러시아어1,윤우섭,1,RU,RU1103-02,러시아어학과
193,수,15:00,16:15,전공선택(05),러시아어1,윤우섭,1,RU,RU1103-02,러시아어학과
194,금,9:00,11:45,전공선택(05),러시아어문법1,Budnikova Galina Aleksandrovna,2,RU,RU2103-00,러시아어학과
195,월,13:30,14:45,전공선택(05),러시아어문화읽기,안병용,2,RU,RU2304-00,러시아어학과
196,수,13:30,14:45,전공선택(05),러시아어문화읽기,안병용,2,RU,RU2304-00,러시아어학과
197,화,9:00,10:15,전공선택(05),러시아어회화1,Budnikova Galina Aleksandrovna,1,RU,RU1101-00,러시아어학과
198,목,9:00,10:15,전공선택(05),러시아어회화1,Budnikova Galina Aleksandrovna,1,RU,RU1101-00,러시아어학과
199,화,9:00,10:15,전공선택(05),러시아어회화1,Brichenkova Elena,1,RU,RU1101-01,러시아어학과
200,목,9:00,10:15,전공선택(05),러시아어회화1,Brichenkova Elena,1,RU,RU1101-01,러시아어학과
201,화,10:30,11:45,전공선택(05),러시아어회화1,Brichenkova Elena,1,RU,RU1101-02,러시아어학과
202,목,10:30,11:45,전공선택(05),러시아어회화1,Brichenkova Elena,1,RU,RU1101-02,러시아어학과
203,화,16:30,17:45,전공선택(05),러시아어회화3,Budnikova Galina Aleksandrovna,2,RU,RU2101-00,러시아어학과
204,목,16:30,17:45,전공선택(05),러시아어회화3,Budnikova Galina Aleksandrovna,2,RU,RU2101-00,러시아어학과
205,화,16:30,17:45,전공선택(05),러시아어회화3,Brichenkova Elena,2,RU,RU2101-01,러시아어학과
206,목,16:30,17:45,전공선택(05),러시아어회화3,Brichenkova Elena,2,RU,RU2101-01,러시아어학과
207,월,12:00,13:15,전공선택(05),러시아학입문,권세은,1,RU,RU1301-00,러시아어학과
208,수,12:00,13:15,전공선택(05),러시아학입문,권세은,1,RU,RU1301-00,러시아어학과
209,목,15:00,17:45,전공선택(05),캡스톤디자인(러시아연구),권세은,4,RU,RU4402-00,러시아어학과
210,월,13:30,14:45,전공선택(05),한국과러시아,권세은,3,RU,RU3304-00,러시아어학과
211,수,13:30,14:45,전공선택(05),한국과러시아,권세은,3,RU,RU3304-00,러시아어학과
212,월,12:00,13:15,전공선택(05),한러통번역연습,한현희,4,RU,RU4104-00,러시아어학과
213,수,12:00,13:15,전공선택(05),한러통번역연습,한현희,4,RU,RU4104-00,러시아어학과
214,화,10:30,11:45,전공선택(05),현대러시아의이해,권세은,3,RU,RU3301-00,러시아어학과
215,목,10:30,11:45,전공선택(05),현대러시아의이해,권세은,3,RU,RU3301-00,러시아어학과
216,월,16:30,17:45,전공필수(04),라틴아메리카소설,황수현,3,ESP,ESP328-00,스페인어학과
217,수,16:30,17:45,전공필수(04),라틴아메리카소설,황수현,3,ESP,ESP328-00,스페인어학과
218,화,16:30,17:45,전공필수(04),스페인어학개론,임효상,3,ESP,ESP319-00,스페인어학과
219,목,16:30,17:45,전공필수(04),스페인어학개론,임효상,3,ESP,ESP319-00,스페인어학과
220,화,10:30,11:45,전공선택(05),라티노문화와정체성,박정원,3,ESP,ESP334-00,스페인어학과
221,목,10:30,11:45,전공선택(05),라티노문화와정체성,박정원,3,ESP,ESP334-00,스페인어학과
222,화,15:00,16:15,전공선택(05),라틴아메리카역사와문화2,송영복,3,ESP,ESP318-00,스페인어학과
223,목,15:00,16:15,전공선택(05),라틴아메리카역사와문화2,송영복,3,ESP,ESP318-00,스페인어학과
224,화,13:30,14:45,전공선택(05),스페인문학개론,권미선,2,ESP,ESP222-00,스페인어학과
225,목,13:30,14:45,전공선택(05),스페인문학개론,권미선,2,ESP,ESP222-00,스페인어학과
226,화,15:00,16:15,전공선택(05),스페인어A1문법,박정원,1,ESP,ESP101-00,스페인어학과
227,목,15:00,16:15,전공선택(05),스페인어A1문법,박정원,1,ESP,ESP101-00,스페인어학과
228,화,15:00,16:15,전공선택(05),스페인어A1문법,권미선,1,ESP,ESP101-01,스페인어학과
229,목,15:00,16:15,전공선택(05),스페인어A1문법,권미선,1,ESP,ESP101-01,스페인어학과
230,수,13:30,14:45,전공선택(05),스페인어A1회화,"김보영, Armando Daniel Bazan",1,ESP,ESP105-00,스페인어학과
231,월,13:30,14:45,전공선택(05),스페인어A1회화,"김보영, Armando Daniel Bazan",1,ESP,ESP105-00,스페인어학과
232,월,13:30,14:45,전공선택(05),스페인어A1회화,"김보영, Armando Daniel Bazan",1,ESP,ESP105-01,스페인어학과
233,수,13:30,14:45,전공선택(05),스페인어A1회화,"김보영, Armando Daniel Bazan",1,ESP,ESP105-01,스페인어학과
234,월,15:00,16:15,전공선택(05),스페인어A1회화,"김보영, Armando Daniel Bazan",1,ESP,ESP105-02,스페인어학과
235,수,15:00,16:15,전공선택(05),스페인어A1회화,"김보영, Armando Daniel Bazan",1,ESP,ESP105-02,스페인어학과
236,월,9:00,10:15,전공선택(05),스페인어B1-A회화,Merce Mundet Tarrago,2,ESP,ESP207-00,스페인어학과
237,수,9:00,10:15,전공선택(05),스페인어B1-A회화,Merce Mundet Tarrago,2,ESP,ESP207-00,스페인어학과
238,월,12:00,13:15,전공선택(05),스페인어B1-A회화,Merce Mundet Tarrago,2,ESP,ESP207-01,스페인어학과
239,수,12:00,13:15,전공선택(05),스페인어B1-A회화,Merce Mundet Tarrago,2,ESP,ESP207-01,스페인어학과
240,월,15:00,16:15,전공선택(05),스페인어B1-A회화,Merce Mundet Tarrago,2,ESP,ESP207-02,스페인어학과
241,수,15:00,16:15,전공선택(05),스페인어B1-A회화,Merce Mundet Tarrago,2,ESP,ESP207-02,스페인어학과
242,화,10:30,11:45,전공선택(05),스페인어B1문법,정원석,2,ESP,ESP203-00,스페인어학과
243,목,10:30,11:45,전공선택(05),스페인어B1문법,정원석,2,ESP,ESP203-00,스페인어학과
244,화,9:00,10:15,전공선택(05),스페인어B2-A회화,Merce Mundet Tarrago,3,ESP,ESP309-00,스페인어학과
245,목,9:00,10:15,전공선택(05),스페인어B2-A회화,Merce Mundet Tarrago,3,ESP,ESP309-00,스페인어학과
246,화,12:00,13:15,전공선택(05),스페인어B2-A회화,Merce Mundet Tarrago,3,ESP,ESP309-01,스페인어학과
247,목,12:00,13:15,전공선택(05),스페인어B2-A회화,Merce Mundet Tarrago,3,ESP,ESP309-01,스페인어학과
248,화,12:00,13:15,전공선택(05),스페인어B2-A회화,Armando Daniel Bazan,3,ESP,ESP309-02,스페인어학과
249,목,12:00,13:15,전공선택(05),스페인어B2-A회화,Armando Daniel Bazan,3,ESP,ESP309-02,스페인어학과
250,월,13:30,14:45,전공선택(05),스페인어Lab1,권미선,2,ESP,ESP213-00,스페인어학과
251,수,13:30,14:45,전공선택(05),스페인어Lab1,권미선,2,ESP,ESP213-00,스페인어학과
252,월,10:30,11:45,전공선택(05),스페인어산문강독,김보영,2,ESP,ESP239-00,스페인어학과
